name,active,comment,info_link,portrait_link
"ALCOCK, Kath",1925-,"Botanical artist, field naturalist, collector, SA",notes,portrait
"ALCORN, John Leonard*",1937-,Mycologist,,
"ALDERSEY, Mary Ann",1825–1906,"School-teacher, collected for Mueller, McLaren Vale, SA",notes,portrait
"ALDRIDGE, H.E.",fl. 1899,"collected Maryborough, Qld",,
"ALFORD, Brian P.",fl. 1970s,Teacher,,
"ALKIN, Thomas Verrier, Rev.",1838–1921,"Anglican clergyman, Toowoomba Qld; various NSW",notes,
"ALLAN, D.",fl. 1891,"collected at Colombo near Bega, NSW",,
"ALLAN, J.",fl. 1860s,"collected in Gippsland, Vic",,
"ALLAN, J.S. or J.L. (or Allen)",fl. 1890s,"Forest ranger, various NSW",notes,
"ALLAN, Keith Maxwell",1950-,Botanical illustrator,,
"ALLAN, Margaret Forbes,",1924-,Bank clerk,,
"ALLEN (ALLAN), John ^^",fl. 1840s,collected fungi on Murrumbidgee R.,,
"ALLEN, A. ^^",fl. 1896,"collected at Mossman Bay, Qld",,
"ALLEN, Betty Eleanor Gosset, Mrs* nee MOLESWORTH Mrs",1913-ext.1947,"Botanist, cryptogamist",,
"ALLEN, Beverly",fl. 2000s,Botanical illustrator,notes,portrait
"ALLEN, Charles Ernest Frank",1876- &gt;1939,Gardens curator,notes,
"ALLEN, Grace Adelaide",1871–1940,Collected in Qld for Mueller,notes,
"ALLEN, Miss  (? Catherine) ^^",1863-,"collected at Penola, SA; Bass Str. islands, Tas",,
"ALLEN, William Tucker",1846-,"expedition collector, Kimberley, WA; western Vic",notes,
"ALLENDER, Bruce",,"Botanist, phycologist",,
"ALLENDER, Marie Joyce, Miss*",1917-,Herbarium assistant naturalist,,
"ALLEY, Neville",fl. 1980,Palynologist,,
"ALLISON, J. ^^",fl. 1998,"collected at Bathurst, Dubbo, NSW",,
"ALLITT, William",1828–1893,"Gardens curator, nurseryman",notes,
"ALLPORT, Joseph",1800–1877,"Solicitor, horticulturist",notes,
"ALLPORT, Mary Morton, Mrs.",1806–1895,"Wildflower painter, Tas",notes,portrait
"ALLPORT, Morton",1830–1878,"Naturalist, painter, Tas",notes,
"ALPHER, Barry Jacob",1940-,"Linguist, anthropologist",,
"ALTHOFER, George W.",1903–1993,"Nurseryman, botanist, author, founder of Burrendong Arboretum",notes,portrait
"ALTHOFER, Hazel J.",1920 -,"Propagator, Burrendong Aboretum superintendent",,
"ALTHOFER, Peter McDowell.",1918–1991,"Horticulturist, Burrendong Arboretum superintendent",notes,portrait
"AMERY,",fl. 1887,"collected at Glenrowan, Vic",,
"AMTSBERG, Heinz",fl. 1980s,"City Gardener, palaeobotanist",,
"ANDERSON,",fl. 1888,"Farmer, politician, Tas; Port Fairy, Vic",notes,
"ANDERSON, A.W.",fl. 1930s,"Mostly collected in Canada, a few in Aust.",,
"ANDERSON, Alexander ^^",fl. 1890s,collected on Blackall Ra. Qld,,
"ANDERSON, David",fl. 1770s,,,
"ANDERSON, E.M.",,,,
"ANDERSON, E.R.",fl. 1960s-70s,Qld.,,
"ANDERSON, James",1797–1842,Gardens Superintendent,notes,
"ANDERSON, Jill, Mrs, see CULLIMORE",,,,
"ANDERSON, John",?–1847,"Colonial Botanist, Gardens Director",,
"ANDERSON, M.L.",fl. 1870,collected lichens in Australia,,
"ANDERSON, Miss ^^",fl. 1898,"collected at Lake Boga and Wimmera, Vic",,
"ANDERSON, N.D.",fl. 1967-79,NSW,,
"ANDERSON, Robert Henry",1899–1969,"Gardens Director, Botanist, NSW",notes,portrait
"ANDERSON, Robert John",1952-2012,"Chemotaxonomist, uni lecturer, Vict, SA",notes,
"ANDERSON, Ross",1862–1945,"Pastralist near Roebourne, later Kendenup, WA",notes,
"ANDERSON, T.",1832–1870,"Collected in Middle East, India, Indonesia, NSW",,
"ANDERSON, William",1750 - 1778,"Surgeon, botanist on Cooks 2nd voyage",notes,
"ANDERSSON, Nils Johan",1821–1880,"Botanist,  lecturer at Lund, Stockholm, collected on voyages",notes,
"ANDRAE, Hans ^^",1883–1890,"collected  around Pulpulla &amp; Cobar, NSW",,
"ANDREWARTHA, Herbert George, Prof.*",1907-,"Zoologist, entomologist",,
"ANDREWS, ^^",fl. 1897,"collected  at Albury, NSW",,
"ANDREWS, Cecil Rollo Paton",1870–1951,"Education Director, botanist",notes,
"ANDREWS, Charles William, Dr",1866–1924,"Naturalist, geologist, collected on Cocos (Keeling), Christmas Is.",notes,
"ANDREWS, Ernest Clayton",1870–1948,Geologist,notes,portrait
"ANDREWS, F.A.",fl. 1875–1883,Naturalist,,
"ANDREWS, Frederick William",?1824–1884,"Naturalist, SA Museum, collected R. Murray, SA; Cape York, Qld",notes,
"ANDREWS, Henry Charles",fl. 1784–1830,"Artist, engraver, England, never came to Aust.",notes,
"ANDREWS, J.H. ^^",fl. 1883,"collected  on Eyre Peninsula, SA",,
"ANDREWS, Milton",1959-,Botanical illustrator,notes,
"ANDREWS, S.B.",fl. 1970s,Pteridologist,,
"ANDRICH, B. ^^",fl. 1860,"collected at Box Hill, Vic",,
"ANGAS, George French",1822–1886,"Artist, naturalist",notes,portrait
"ANGELO, Mary (nee Fraser)",1851–1928,collected seaweeds WA,notes,
"ANKETELL, R.J.",fl. 1908,Gardener,,
"ANTONIAK, Wendy",fl. 2000s,"Botanical artist, ACT",notes,
"APLIN, Theodore Ernest Holmes (Ted)*",1927–1991,WA botanist,notes,
"ARCHER, Alan W.",1930–,Lichenologist,,
"ARCHER, Ann (nee Hortle)",1825–1899,collected bryophytes in Tas,,
"ARCHER, Ellinor",fl. 1911–17,"Botanist, illustrator, librarian",notes,
"ARCHER, William H.",1820–1874,"Architect, botanist, illustrator, Tas",notes,portrait
"ARCHIBALD, R. ^^",fl. &lt;1892,"collected  fossils in Qld at Bundaba, Ipswich, Qld",,
"ARDEN, Stanley",1874–1942,Gardener,,
"ARDEN, W.H.",fl. 1887,"collected  at Yarra Yarra, Vic",,
"ARMISTEAD, J. ^^",fl. 1885,"collected  at source of Barwon R, Vic",,
"ARMIT, William Edington de Margrat, Capt.",1848–1901,"Policeman, explorer, journalist, public servant, Qld",notes,
"ARMITAGE, I.B.",fl. 1962–1987,"NSW, Qld",,
"ARMITAGE, Joseph",1853–1897,Physician in Tas 1881-97,notes,
"ARMITAGE, Richard W.",fl. 1900–10,Naturalist,,
"ARMSTRONG, Alexdnder, Sir",1818–1899,"Medical officer (Navy), naturalist, collected Melville Is, NT",notes,
"ARMSTRONG, Francis Fraser",1813–1897,"Worked with Aboriginals, collected  plants &amp; birds around Perth for sale",notes,
"ARMSTRONG, J.W. ^^",fl. 1899,"collected  at Wapengo near Bega, NSW",,
"ARMSTRONG, James Andrew*",1950-,"Botanist, herbarium director, Sydney, Canberra, Perth",,portrait
"ARMSTRONG, John",?–1847,"Gardens Superintendent, NT",notes,
"ARMSTRONG, John",1931-,"Architect, botanical artist",,portrait
"ARMSTRONG, W. ^^",fl. 1883,"collected at Rockhampton, Qld; St. Lawrence",,
"ARMYTAGE, H.N. (? Harold Ausustine)",?1853–1926,"?Station manager, Mt  Sturgeon and Afton Downs, Qld",notes,
"ARMYTAGE, Miss (? Ada Elizabeth)",fl. 1895-96,Collected for Mueller in Victoria,notes,
"ARNOLD, Joseph",1782–1818,"Naval Surgeon, naturalist",,
"ARNOLD, Mavis",fl. 1930,Botanical illustrator,notes,
ARNOUX ^^,fl. 1844,collected  at Sydney,,
"ARTHUR, John",1804–1849,"Gardens Director, landscape gardener",notes,
"ARUNDELL, Edward Henry (or Arundel) ^^",1840–1910,"Bookseller, storekeeper",,
"ASH, J.H. (?John Henry) ^^",fl. 1887,"collected  at Bunda Bunda Stn, Qld",,
"ASH, Sidney A., Dr",1932-,Palynologist,,
"ASHBY, Alison Marjorie",1901–1987,Artist,notes,
"ASHBY, Edwin A.",1861–1941,"Naturalist, nurseryman,  grower of Australian plants at &lsquo;Wittunga' SA",,
"ASHBY, Eric, Prof. Lord",1904–1992,Ecologist,notes,
"ASHTON, David Hungerford, Dr*",1927-2005,"Botanist, ecologist",notes,portrait
"ASHTON, H.",fl. 1917,,,
"ASHWORTH, H.P.C. ^^",1871–1903,"Ornithologist, ecologist, architect, collected on Tas islands",,
ASKENASY,,,,
"ASTON, Helen Isobel, Miss*",1934-,"Herbarium botanist,  Curator, Vict.",notes,portrait
"ATHERSTONE, ^^",fl. &lt;1863,colected in SA,,
"ATKIN, T.V. ^^",fl. 1894,"collected at Sofala and Georges R, NSW",,
"ATKINS, C.J. ^^",fl. 1885,"Lichenologist, collected   at Macquarie Harbour, Tas",,
"ATKINS, Edward Barton",1855–1920,"School teacher at Rockhampton, Charleville, Qld",notes,
"ATKINS, Kenneth William",1925-,Gardener,,
"ATKINS, William ^^",1836–1920,"Amateur botanist, forester, railway builder, parliamentarian, WA",,
"ATKINSON, 


Caroline Louisa Waring

, [later CALVERT]",1834–1872,"Naturalist, author",notes, portrait
"ATKINSON, Edward Derwent",1844–1920,"Geologist, stationmaster  for Tas. Railways",notes,
"ATKINSON, Henry Brune,",1874–1960,"Anglican clergyman, Archdeacon",,
"ATKINSON, Henry Dresser, Rev.",fl. 1860–1890,Anglican clergyman,notes,
"ATTARI, D. ^^",fl. 1886,"collected  at Port Fairy, Vic",,
"AUDALL, E.J.L. (also Andall or Andale) ^^",fl. 1895,"collected  at Mudgee, NSW",,
"AUDAS, James Wales Clarendon",1872–1959,"Botanist, author, Vic",notes,
"AUDEBERT, Jean Batiste",1759–1800,French botanical illustrator,notes,
"AUILDIST, I.H.",fl. 1960s,,,
"AUSFELD, G. ^^",fl. 1840-60,"collected  near Bendigo, Vic",,
"AUSTEN, ? Richard",fl. 1870s,Botanical illustrator,notes,
"AUSTIN, J. ^^",fl. 1899,"collected  at Condobolin, NSW",,
"AUSTIN, Robert",1825–1905,"Surveyor, expedition leader, gold prospector",notes,
"B&#220;CHEN-OSMOND, Cornelia",fl. 2000s,"Botanical artist, ACT",notes,portrait
"BABBAGE, Benjamin Herschel",1815-1878,"Scientist, explorer, engineer",notes,portrait
"BACCHUS, William Henry",1820-1887,Agronomist,notes,
"BACK, Patricia V.",fl. 1974,"Botanist, weed specialist",,
"BACKHOUSE, James",1794-1869,"Nurseryman, naturalist missionary",notes,
"BADMAN, Frank",1943-2015,"Herbarium collector, ecologist, arid SA",notes,portrait
"BAEUERLEN, [BAUERLEN] Wilhelm [William]",1845-ext.1901,"Botanist, museum collector",notes,portrait
"BAGE, Freda ^^",fl. 1885,"Member, Field Nats' Club Vic. Collected in Vic.",,
"BAGLIN, Douglass",fl. 1960s-80s,Photographer,,
"BAHLSEN, Emma [also Miss C.] ^^",fl. 1890s,"Collected near Mudgee, NSW",,
"BAILEY, Alan",1937-,"Botanist, phycologist",,
"BAILEY, Eric Thomas",1910-1980,"Agrostologist, plant introduction specialist",,
"BAILEY, Frederick Manson",1827-1915,Colonial Botanist,notes,portrait
"BAILEY, J.L.",,,,
"BAILEY, John (?B.)",1800-1864,"Colonial Botanist, gardens curator",notes,
"BAILEY, John Rayer",fl. 1950s,Gardens curator,,
BAILEY. John Frederick,1866-1938,"Gardens Director, economic botanist",notes,
"BAIN, J. ^^",fl. 1842,"Collected at Mt Irvine, NSW",,
"BAINES, ^^",?-1855,Collected marine algae in Vic.,,
"BAINES, John Thomas",1820-1875,"Explorer, artist, cartographer, naturalist, prospector",notes,portrait
"BAIRD, Alison Mary, Miss",1906-,"Botanist, ecologist",,
"BAIRD, D.D. ^^",fl. 1898,"collected at Dubbo, NSW",,
"BAIRD, J. ^^",fl. 1883,"collected near Maytown, Palmer R., Qld.",,
"BAKER, (J.) M. ^^",fl. 1891-96,collected in NSW at Picton,,
"BAKER, Richard Thomas",1854-1941,"Economic botanist, museum curator, author",notes,portrait
"BAKER, William Robert Arton ^^",1857-?,"Herbarium keeper, collected in Vic.",,
"BAKET, Miss",fl. 1884,Collected Bloomfield R. area,,
"BALANSA, Bendedict (Benjamin)",1825-1891,French botanist explorer,,
"BALDRY, J.M. ^^",fl. 1883-93,"associated with Baldwin Spencer, Vic, Tas",,
"BALE, Colin L.*",1953-,Botanist,,
"BALE, William Mountier (? initial L.) ^^",1851-1940,"Microscopist, customs inspector, studied diatoms etc",,
"BALFOUR, Dr ^^",fl. 1841,"attributed with lichens from Tas, (? see George ref.)",,
"BALGOOY, Max Michael Josephus van",1932,"Java-born botanist/collector, Pacific flora, incl. Aust., based in Leiden",notes,portrait
"BALL, Henry Lidgbird",1756-1818,"Naval Officer, 1st Fleet, artist",notes,
"BALL, Lionel Clive",fl. 1889-1960s,"Govt geologist, Collected at Wallangarra, Qld",,
"BALL, Robert ^^",fl. 1836,"collected lichens, mosses on Macquarie R., NSW",,
"BALLANTYNE [BALLANTINE], Mary",fl. 1840s,collected in Tas. for R.Gunn,notes,
"BALME, Basil E., Dr",1923-,"Palynologist, palaeobotanist",,
"BANACLON, W. ^^",fl. 1887,"collected at Olive Downs, NSW",,
"BANCROFT, Joseph, Dr",1836-1894,"Surgeon, pharmacologist",notes,portrait
"BANCROFT, Thomas Lane",1860-1933,"Medical Officer, naturalist, plant breeder",notes,portrait
"BANDY, G. ^^",fl. 1878,"Collected at Mt Jeffcott, Vic",,
"BANER, Miss",fl. 1884,Collected Bloomfield R. area,,
"BANFIELD, Frederick Sydney",-1967,"Student gardener at Kew, later based in Malaysia. Writer",,
"BANFIELD, H. ^^",fl.1880,"Collected at Ararat, Vic",,
"BANKS, David Paul",1965-,"Orchid collector, grower, lecturer",notes,portrait
"BANKS, Joseph, Sir",1743-1820,"Naturalist, explorer, promoter, Royal Society President",notes,portrait
"BANNIER, (? August Wilhelm) ^^",fl. 1849-51,Collected on Kangaroo Is. SA,,
"BAPTIST, John",,Horticulturist,,
"BARAGWANATH, William, Jnr,",1878-1966,"Geologist, mine surveyor, Director of Geol. survey",,
"BARBER, C.D. ^^",fl. 1878-79,"collected at Rolleston, Qld",,
"BARBER, Horace Newton - Prof.",1914-1971,"Botanist, cytologist",notes,
"BARCLAY-MILLER, Thomas",fl. 1875-1923,"Miner, bailiff",notes,
"BARCLAY, George",fl. 1830s,Botanical illustrator,,
"BARKER, Collet - Captain",1784-1831,"Soldier, military administrator",notes,
"BARKER, Mary Ann, Mrs, nee ELRIDGE",1790-1872,"Collected seaweeds for Harvey, Vic",notes,
"BARKER, Mrs (? Susannah nee Hodgkinson)",fl. 1895,Collected for Mueller in Vic,notes,
"BARKER, Mrs C.A.",fl. 1880,"Collected for Mueller in NSW, near Mt Wilson",,
"BARKER, R. ^^",fl. 1898,"collected at Albany, WA",,
"BARKER, Robyn Mary, Mrs(n&eacute;e SHORT)",1948-,"Botanist, taxonomist",,
BARKER. William Robert - Dr,1948-,"Botanist, taxonomist",,portrait
"BARKLY, Henry - Sir",1815-1898,Colonial administrator. Governor of Victoria,notes,
"BARLEY, Anita Miriam (nee PODWYSZYNSKI)",1955-,"Botanical illustrator, Vic",notes,portrait
"BARLOW, Bryan Alwyn, Dr*",1933-,"Botanist, Herbarium Director, Melaleuca, mistletoe specialist, SA, ACT",,
"BARLOW, Janette",fl. 2000s,"Botanical artist, NSW",notes,portrait
"BARNARD, (?) Charles Ashmale",1867-1942,"plant collector Coomooboolaroo, Qld,",notes,
"BARNARD, Charles E., Dr",fl.1880s,"Botanical lecturer, Herbarium curator, writer",notes,
"BARNARD, Colin",1907-1974,"Phytochemist, grassland ecologist",,portrait
"BARNARD, E. ^^",1786-1861,specimens at Kew collected Aust 1829,,
"BARNARD, Francis George Allman",1857-1932,"Writer, editor, pharmacist",notes,
"BARNARD, Francis W.",1823-1912,"Microscopist, chemist",notes,
"BARNARD, G. ^^",fl. 1897,"One of the Barnard family of Coomooboolaroo Stn,  Qld",,
"BARNES, J. ^^",?,collected freshwater algae in Vic. for Mueller,,
"BARNES, R. ^^",fl. 1886,"collected at Rose Bay, NSW",,
"BARNES, W.E. ^^",fl. 1890,"collected on Ovens R., Vic",,
"BARNETT, Olwyn, Mrs*",1925-,"Nurse, secretary, SGAP enthusiast, seed-banker",notes,
"BARNFORD, D. ^^",fl. 1886,"collected moss at Ben Lonond, Tas",,
"BARNM, Paul*",1927-,"Farmer, naturalist",,
"BARNSLEY, B.Mrs",fl. 1980s,Botanist,,portrait
"BARON, Henry John Allcock (sometimes Alcock)",1863-1948,"Botanical illustrator, lithographer",notes,portrait
"BARRETT-LENNARD, Amy Eliza (Mrs Forrest)",1852-1897,Collected for Mueller in WA,notes,portrait
"BARRETT, Charles Leslie",1880-1959,"Naturalist, author, photographer",notes,
"BARRETT, Harcourt",1838-1904,"Botanical lithographer, b. England, arrived Aust. 1881",notes,
"BARRINGTON, F.A. ^^",fl. 1884,"collected at Mulligan R., Qld",,
"BARROW, J. ^^",fl. 1897,"collected near Kyneton, Vic",,
"BARRY, Elizabeth",1862-1932,"collected for Mueller at Moonbah, NSW",notes,
"BARTLEW-TORR, E.",fl. 1930-1980,Photographer,,
"BARTON, Fred Jnr",fl. 1925,,,
"BARTON, Frederick C. W.",fl. 1926-32,"Victorian naturalist, bird observer",,
"BARTON, Sarah",1905-,,,
"BARTON, W. ^^",1833-1899,"collected at Armadilla (Armadillo), Qld",,
"BARTRAM, Edwin Bunting",1878-1964,"Bryologist, muscologist",,
"BARTUSCH, G.",fl. 1890s-1900s,Botanical illustrator,notes,
"BASCHER, W. ^^",fl. 1892,"collected near Henty, Vic",,
"BASEDOW, Herbert J., Dr",1881-1933,"Scientist, explorer, Chief Protector of Aborigines",notes,portrait
"BASS, George, Dr",1771-1803,Explorer,notes,
"BASSETT, Florence Hildegard",1888-1948,"Amateur flower painter, WA",,
"BASSETT, Miss",fl. 1894,Collected for Mueller upper Lachlan River,,
"BASTOW, Austin",-1938,"Mayor of Subiaco, W.A.",,
"BASTOW, Richard Austin",1839-1920,"Architectural draughtsman, cryptogamist, botanical artist",notes,portrait
"BATE, Mary Harriet , later Mrs GRIFFITHS",1855-1951,"Plant collector, farmer's wife",notes,portrait
"BATEMAN, Edward La Trobe",c.1815-1897,"Artist, garden designer",,
"BATEMAN, Wilfred [Bill)",1907-,Forester,,
"BATES, Daisy May (nee Margaret DWYER)",1869-1951,"Journalist, ethnographer",notes,portrait
"BATES, H.E. ^^",fl. 1884-92,"Manager, pastoral station, Madura, WA",,
"BATES, L.",fl. 1960s,,,
"BATES, Robert J.*",1946-,"Teacher, collector of orchids",,
BATESON. G.,f.1930s,Collected plants in PNG,,
"BATIANOFF, George Nicholas",1945-2009,"Queensland Herbarium, formerly Ag. Dept. staff, Qld.",notes,portrait
"BATRY, I ^^",f. 1888,"Collected near Mt Macedon, Vic",,
"BATSCH, J. ^^",fl. 1881,"Collected at Gloucester Mtns (Buckets?), NSW",,
"BATT, John (Jack) Downton",1843-1919,Telegraph linesman,notes,
"BAUDIN, Nicolas Thomas, Capt.",1754–1803,"Explorer, surveyor",notes,portrait
"BAUDINET, B. (Miss) ^^",fl. 1883-85,Collected (including algae) in Tas. at lighthouses,,
"BAUDINET, E.E., Miss",fl. 1868-84,,,
"BAUDINET, Louisa (Lucy) Isabella Chaulk",1825-1901,Collected for Mueller in Tas.,notes,
BAUDOIN (BAUDOUIN) ^^,fl. 1865-68,"Collected in SE Asia, Australia, Egypt",,
"BAUER,  Sophie Wilhelmine Eleanore (Ellie)",1863-1943,"Collected (including algae, lichens) at Bloomfield R., Qld",notes,portrait
"BAUER, Ellie, Miss  [see BAUER, Sophie . . . below]",1863-1943,"Collected (including algae, lichens) at Bloomfield R., Qld",notes,
"BAUER, Ferdinand Lukas(Lucas)",1760-1826,"Botanical artist, accompanied Flinders on voyage around Australia",notes,
"BAUER, Franz (Francis) Andreas",1758-1840,"Botanical artist based in Kew, brother of Ferdinand",notes,portrait
BAUERLEN see: BAEUERLEN,,,,
"BAUMANN, M. ^^",fl. 1896,"Collected in [Royal] National Park, NSW",,
"BAUME, Joseph",1810-,French naval surgeon,notes,
"BAXTER, Jacqueline",fl. 2000s,"Botanical artist, Vic",notes,portrait
"BAXTER, William",1787- fl. 1822-30,"Gardener, botanical collector",notes,
"BAYER, Randall James",1955-,Botanist,notes,portrait
"BEADLE, Noel Charles William, Prof.",1914 - 1998,"Botanist, Prof Botany UNE",notes,portrait
"BEAL, A. Miss, probably  Ada",fl. 1884-1885,"Daughter or Amy, collected for Mueller in Vict",notes,
"BEAL, Amy (nee MURCH)",1827-1925,"Mother of Ada, collected for Mueller in Vict",notes,
BEALE,fl. 1960s,,,
"BEAMlSH, K. I., Dr",fl. 1970s,Botanist,,
"BEAN, Anthony Russell",1957-,"Naturalist, national parks officer",notes,
"BEAN, Deirdre",fl. 2010s,Botanical illustrator,notes,portrait
"BEARD, John Stanley, Dr*",1916-2011,"Botanist, ecologist, Gardens Director, UK, Africa, NSW, mostly WA",notes,portrait
"BEASLEY, Rubin Cartwright",1878-1956,Farmer,notes,
"BEASLEY, Th. ^^",fl. 1887,"Collected at L. Austin, WA",,
"BEATON, Gordon William*",1911-,"Mechanic, photographer, mycologist",,
"BEAUGLEHOLE, Alexander Clifford",1920-2002,"Farmer, naturalist, botanist",notes,
"BEBRA, Jane Charlotte von [see BIBRA]",,,,
"BECCARI, Odoardo, Dr",1843-1920,"Italian botanist, collected in Aust, 1878",notes,portrait
"BECHERVAISE, John mayston, Dr",1910-,"Poet, explorer, author",,
"BECKER, Lothar",fl. 1850-51,"German/Polish botanist, illustrator, esp. fungi",notes,
"BECKER, Ludwig Philipp Heinrich ",1808-1861,"German artist, naturalist, in Aust. from 1851, on Burke &amp; Wills expedition",notes,portrait
"BECKLER, Herman, Dr",1828-1914,"Botanist, Medical Officer",notes,portrait
"BEDDOME, C.E. ^^",fl. 1882,"Collected diatoms, ferns, Tas, Qld",,
"BEDFORD, David John, Dr*",1952-,Executive Assistant (Scientific),,
"BEDFORD, H.D. ^^",fl. 1890-94,"Collected at Pettroy, Wollomombi, NSW, and Vic",,
"BEDFORD, Roger B.",fl. 1960s,"Botanist[?], orchidologist",,
"BEDGGOOD, Stella Winifred, Mrs",1916-1978,"Naturalist, photographer",,
"BEDWELL, Frederick",1796-1853,Master's mate with P.P. King on Mermaid,notes,
"BEERE, Frederick (Fred) William ^^",1851-1906,Shepherd; overland telegraph; pastoralist Eucla WA,,
"BEESTON, Gregory Ronald",1948-,"Botanist, ecologist",,
"BEETON, Irene, Miss (surname sometimes mispelled BEATON)",1920-,Horticulturist at Canberra Botanic Gardens and its herbarium,notes,
"BEEVER, Jessica, Mrs",fl. 1980s,Bryologist,,
"BEGVIE, P.",,"Collector of fungi, Victoria",,
"BEHR, Hans Hermann",1818-1904,"Ethnologist, botanist, entomologist",notes,portrait
"BELCHER, Robert Orange, Prof.*",1918-2008,"Botanist (died 8.1.2008 in Ypsilanti, Michigan, USA)",,
"BELCHER, Ruby*",fl. 1967-1982,"NSW, SA, Tas",,
"BELFIELD, A.H. ^^",fl. 1892,"Collected at 'Eversleith', Dumaresq, NSW",,
"BELL, Annie, Miss ^^",fl. 1887-90,"Collected at Booligal, Lachlan R., NSW",,
"BELL, B.A.",fl. 1999,"Collected in NSW, Qld",,
"BELL, C.",fl. 1970s,,,
"BELL, Graham Harold*",1959-,"Botanist, cryptogamist",,
"BELL, M. or N. ^^",1889-96,"Collected in [Royal] National Park, Sydney, NSW",,
"BELL, Miss",fl. 1884,Collected (with A.W. Howitt) in Vic.,,
"BELL, Miss",fl. 1831,"Collected in NSW, associated with Allan Cunningham",notes,
"BELL, S.",fl. 192-2000,Collected in NSW,,
"BELL, William Alexander ^^",fl. 1861-62,"on Burke &amp; Wills Relief Expedition, SA, Qld, NT",,
"BELL, William Robert ^^",1830-,"Prospector, farmer, speculator, SA, Vic, Tas. fl. 1880-84",,
"BELLINGHAUSEN, Fabius Theophilus",1778-1852,"Naval officer, explorer,  Russian Antarctic  expedition",notes,
"BELSON, E.",fl. 1930s,"Botanist, Senior Herbarium officer",,
"BELT, Francis Walter",1862-1938,"Solicitor, soldier, naval officer, Horn Exped.",notes,
BENGSTON. M.,fl. 1960s,,,
"BENHAM, Ellen Ida",1871-1917,"Teacher, botany lecturer, herbarium curator",notes,portrait
"BENINGA, L. ^^",fl. 1879,"Collected at Hahndorf, SA",,
"BENL, Gerhard",1910–2001,"Botanist, Senior Herbarium Officer",,portrait
"BENNETT, A. Mrs.  (also as Mrs A. Burnett) ^^",?,"Collected at Port Stephens, NSW Specimens at CGE  (ex Lindley's herbarium), K.",,
"BENNETT, C.E. or C.S. ^^",fl. 1858,"Collected at Bendigo gold diggings, Vic,  Specimens at MEL.",,
"BENNETT, C.P. ^^",fl. 1889,"Collected on W coast, Tas. Specimen at  MEL.",,
"BENNETT, E.",fl. 1920s-40s,,,
"BENNETT, Eleanor Marion, Mrs (nee SCRYMGEOUR)",1942-,Botanist,notes,portrait
"BENNETT, F. ^^",fl. 1889,"Collected at Irvinebank, Qld, Apr. 1889. Specimens at BRI.",,
"BENNETT, Frank M.",fl. 1940s,,,
"BENNETT, Frederick Debel ^^",fl. 1830-40,Whaler. On Tuscan voyage to Pacific Ocean  1833-36.,,
"BENNETT, George, Dr",1804-1893,"Physician, naturalist, surgeon-naturalist on Sophia",notes,portrait
"BENNETT, Ian James",1958-,Botanist,,
"BENNETT, Isobel Eliza Toom (also as: Isobel Ida BENNETT)",1909-2008,"Marine biologist, algal collector, NSW",notes,portrait
"BENNETT, Kenric Harold",c. 1840-1891,"Ornithologist, collected plants in NSW for Maiden",notes,
